state_fips,state,Baseline_Cluster_ID,Shock_Cluster_ID,Post_Shock_Cluster_ID,Baseline_Cluster_Name,Shock_Cluster_Name,Post_Shock_Cluster_Name,Cluster_Path,Structural_Status
01,Alabama,6,6,6,Lower-Capacity Manufacturing-Intensive Economies,Lower-Capacity Manufacturing-Intensive Economies,Lower-Capacity Manufacturing-Intensive Economies,6 → 6 → 6,Structurally stable
02,Alaska,3,3,3,High-Capacity Resource-Specialized Economies,High-Capacity Resource-Specialized Economies,High-Capacity Resource-Specialized Economies,3 → 3 → 3,Structurally stable
04,Arizona,5,5,5,Professional-Service Low-Healthcare Economies,Professional-Service Low-Healthcare Economies,Professional-Service Low-Healthcare Economies,5 → 5 → 5,Structurally stable
05,Arkansas,6,6,6,Lower-Capacity Manufacturing-Intensive Economies,Lower-Capacity Manufacturing-Intensive Economies,Lower-Capacity Manufacturing-Intensive Economies,6 → 6 → 6,Structurally stable
06,California,0,4,4,High-Capacity Professional-Service Economies,Very-High-Capacity Service-Healthcare Economies,Very-High-Capacity Service-Healthcare Economies,0 → 4 → 4,Possible shock-origin persistent shift
08,Colorado,5,0,0,Professional-Service Low-Healthcare Economies,High-Capacity Professional-Service Economies,High-Capacity Professional-Service Economies,5 → 0 → 0,Possible shock-origin persistent shift
09,Connecticut,4,4,4,Very-High-Capacity Service-Healthcare Economies,Very-High-Capacity Service-Healthcare Economies,Very-High-Capacity Service-Healthcare Economies,4 → 4 → 4,Structurally stable
10,Delaware,0,0,0,High-Capacity Professional-Service Economies,High-Capacity Professional-Service Economies,High-Capacity Professional-Service Economies,0 → 0 → 0,Structurally stable
12,Florida,5,5,5,Professional-Service Low-Healthcare Economies,Professional-Service Low-Healthcare Economies,Professional-Service Low-Healthcare Economies,5 → 5 → 5,Structurally stable
13,Georgia,5,5,5,Professional-Service Low-Healthcare Economies,Professional-Service Low-Healthcare Economies,Professional-Service Low-Healthcare Economies,5 → 5 → 5,Structurally stable
15,Hawaii,5,5,5,Professional-Service Low-Healthcare Economies,Professional-Service Low-Healthcare Economies,Professional-Service Low-Healthcare Economies,5 → 5 → 5,Structurally stable
16,Idaho,1,1,1,Lower-Capacity Resource-Healthcare Economies,Lower-Capacity Resource-Healthcare Economies,Lower-Capacity Resource-Healthcare Economies,1 → 1 → 1,Structurally stable
17,Illinois,0,0,0,High-Capacity Professional-Service Economies,High-Capacity Professional-Service Economies,High-Capacity Professional-Service Economies,0 → 0 → 0,Structurally stable
