state_fips,state,period,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share
01,Alabama,Baseline_2015_2019,43769.07447778995,40111.13452037933,81768.74297331192,45499.20485418472,13.592490063955731,12.51202338494679,13.847323444531307,0.9431392954227021
01,Alabama,Post_Shock_2023_2024,49015.20590954616,44334.00650889544,85400.17948090174,47790.64398567763,13.539406540369377,12.870579094869093,14.130823083162102,0.8356425131793505
01,Alabama,Shock_2020_2022,45960.804744856374,44180.16542322341,83977.14806557186,48239.28014120681,13.502923204509955,12.990238726454132,13.93509404436991,0.8854895434763588
02,Alaska,Baseline_2015_2019,71828.36039225149,57494.538449772146,116267.08015162998,58207.08905297539,4.0932139321681165,8.901250634178389,14.8817347063353,4.676032780158638
02,Alaska,Post_Shock_2023_2024,74855.9672578187,59124.5688699742,116990.77158872863,58711.48730795107,3.796876097604299,9.013626595734541,15.741199748009441,4.13720804205621
02,Alaska,Shock_2020_2022,69587.7751226735,58712.18131206546,115407.60805147556,59847.52499115494,3.9574721005847437,8.94752757046158,15.903060642437952,3.8589052357475544
04,Arizona,Baseline_2015_2019,48412.502282387155,43305.01858804575,88984.17165914993,51354.04260687754,6.004268266732034,15.315020508827738,13.838234121767561,1.370042620174988
04,Arizona,Post_Shock_2023_2024,58268.33415035723,51220.433082495336,98685.62684143145,55611.14576091767,6.092327639735346,14.764182686126674,14.831478811001919,1.1397400485430849
04,Arizona,Shock_2020_2022,53886.228966074596,50187.64588969321,95968.9285227774,56225.104277095736,6.2479202181750955,15.330148074883232,14.343694069305215,1.1853509322159734
05,Arkansas,Baseline_2015_2019,41626.094770498676,41397.76695858869,75836.13231054564,43426.40333666933,13.163333219035636,12.15028625001376,16.586404707859323,1.414396694722525
05,Arkansas,Post_Shock_2023_2024,46925.5720645662,45860.85375855904,80497.69763485903,46050.76623720397,12.62031673916028,12.563960041227801,16.37734848978441,1.2034719488056993
05,Arkansas,Shock_2020_2022,44521.94038704344,45962.26987501475,79841.86646381779,46674.011957297706,13.087534447634754,12.299444916415235,16.357513066247975,1.297860339686148
06,California,Baseline_2015_2019,69788.31604441292,58404.814405472294,116558.44306348944,66324.76314974121,7.678277951373732,15.324004482539205,14.377243535277051,2.6156973066149893
06,California,Post_Shock_2023_2024,82890.33075456198,66421.82386427777,128050.08438572793,71798.45868962258,7.123393312455049,15.485083856922415,16.26512080704643,2.360648661729573
06,California,Shock_2020_2022,78354.31851589466,66941.54057863068,128135.8600091728,74889.41497670127,7.567867743106397,16.055966296301012,15.489549261046278,2.520575436777717
08,Colorado,Baseline_2015_2019,63119.19514561646,54982.35093408491,94177.79976232798,57919.315866907666,5.561717861353157,15.971952101345323,12.819610389037539,1.7170074372909387
08,Colorado,Post_Shock_2023_2024,74705.00686682828,64468.80916680817,104376.86409581629,62982.484985081974,5.203773407835138,17.142627204461917,13.286305062136284,1.3687044953666867
08,Colorado,Shock_2020_2022,69277.96490829665,63516.37361588335,101449.0487097515,63760.62241639672,5.5363718514673215,16.87892397856085,13.1851952762241,1.495717969701026
09,Connecticut,Baseline_2015_2019,75407.04792656304,69636.07953697028,118303.23997277464,66024.88619122903,9.566446273682564,13.206777841483888,17.15350719485921,0.3184919755238707
09,Connecticut,Post_Shock_2023_2024,77829.57227203695,73461.07662985564,117382.49393034345,66861.38505301473,9.371946400485932,13.311058886984707,18.238819486693593,0.3421751431541431
09,Connecticut,Shock_2020_2022,75122.86742664907,72860.61759925832,118332.62770256335,68668.30890861007,9.71877845018097,13.534569685699957,17.938338819873934,0.3359088083141757
10,Delaware,Baseline_2015_2019,75497.95341619418,50207.643370164544,123953.3576330803,55073.88820551649,6.011611574815346,14.022375279253927,16.713846190160677,0.3086759746027877
10,Delaware,Post_Shock_2023_2024,80282.21500483397,52644.45181577472,124586.04978025117,55727.82676008891,5.651219635142305,13.812265051897153,17.125898185888513,0.27204572284879136
10,Delaware,Shock_2020_2022,75881.58170918738,53472.729037971294,123434.53500143642,57789.38108993706,5.781870173567178,14.384719055816667,16.865789550800475,0.28444154936139365
12,Florida,Baseline_2015_2019,48758.86287128132,48579.59783457166,83915.77342473906,50134.882484527014,4.279376002456348,15.550372469481928,13.951164944116588,0.8986390031604827
12,Florida,Post_Shock_2023_2024,57614.269658758596,56803.533784044506,88969.53280135005,55430.2551759504,4.348507656761251,16.647137419259554,14.223190121885231,0.6909043662161183
12,Florida,Shock_2020_2022,52986.68524989212,54984.541091478044,86359.83620602834,55239.56168300348,4.3983353582335045,16.538378314677434,14.086098704201104,0.8122811079495048
13,Georgia,Baseline_2015_2019,55752.57889354214,44695.29736304946,94887.6899579518,53042.863485618494,9.068478164964198,15.523520745647692,12.307979162697828,0.6866770543355238
13,Georgia,Post_Shock_2023_2024,61830.740138267814,48703.370866551806,96452.60430845675,56052.80095295976,8.802411114050514,15.701397918876669,12.98203432068386,0.5979752898952352
13,Georgia,Shock_2020_2022,59052.222752997615,49247.97179669407,96292.90418666393,56669.01498459539,8.800987531068666,16.319706517784944,12.421162601514176,0.6483010439481983
15,Hawaii,Baseline_2015_2019,59716.09895059392,50181.02568861489,94989.18776425082,50943.783656755026,2.9901678047600804,13.088186581580525,12.093733016964254,0.9451923886690426
15,Hawaii,Post_Shock_2023_2024,63249.61564610436,55142.98076430724,98297.83385342619,53286.89448761502,2.0320243944107297,11.887513609356427,12.824820690971551,0.48743019108116414
15,Hawaii,Shock_2020_2022,58064.40606061022,54150.74368197373,97785.69190593006,54310.79514272287,2.470796716657039,12.288686788127293,13.357244833264948,0.6906930237766958
16,Idaho,Baseline_2015_2019,42612.10544186456,41609.284802985145,73353.02703119654,42005.56957231244,9.250610074849476,12.39612474001692,14.192554384008512,3.779091238378478
16,Idaho,Post_Shock_2023_2024,49059.26795465434,48178.926726825775,79600.59243349048,46715.6931275876,8.744167170749584,12.774852020197548,14.582778889299611,3.250586320217269
16,Idaho,Shock_2020_2022,46394.31837092159,48399.25138265585,77886.10822591884,46334.46038104033,8.92934393453279,12.93247781322841,14.335153841496,3.4231589834173026
17,Illinois,Baseline_2015_2019,64961.7688219453,53603.21198350401,107217.90814123533,59416.98528203349,9.818716321424697,15.880208020965384,13.47001760897166,0.4507616128098995
17,Illinois,Post_Shock_2023_2024,70415.06317260358,58017.43420391285,108871.18879644247,61325.45435247547,9.626669989134067,15.630891673833784,14.272046180643056,0.44112405515571373
17,Illinois,Shock_2020_2022,66685.23364621184,58620.036354317446,109207.1025719248,63512.52790662152,9.818205729725841,16.295250507900857,13.912883550371768,0.44073722029464824
18,Indiana,Baseline_2015_2019,53378.962977916235,44788.50229219983,91681.42045540872,46838.465494596676,17.61433503266276,11.227840607985653,14.297910452063565,0.7038989810458873
18,Indiana,Post_Shock_2023_2024,58796.51200376155,49684.14305329114,96617.83689011598,49211.22484007691,16.66701700892738,11.405459762361279,15.007909220622928,0.691772756539567
18,Indiana,Shock_2020_2022,55766.609195213976,50038.103496257536,95618.53577640845,50007.3078777589,17.362852730500794,11.568554237612412,14.600434654840967,0.6930775082145072
19,Iowa,Baseline_2015_2019,59323.91906085742,47128.25141300047,90706.47562484811,45188.8791336592,14.188913913375691,9.042951768199293,14.402648965183811,1.4580378075401605
19,Iowa,Post_Shock_2023_2024,63270.213973466,50814.78589743897,95797.73177701648,47093.05752097651,14.386058332766744,9.39048481067803,14.506601440425896,1.4789962147833269
19,Iowa,Shock_2020_2022,61757.2405013302,51285.83206362303,96133.93114849075,47929.3419053904,14.57054833246317,9.348708018800965,14.462708199206446,1.4957555550328625
20,Kansas,Baseline_2015_2019,56605.163109605186,48652.55897245077,86422.25304376542,46638.07577290907,11.839577115949247,13.037951505582601,14.685556716636622,1.4107574003464567
20,Kansas,Post_Shock_2023_2024,61177.68947719189,51338.44862627714,90155.80278988264,48101.9078195437,12.2162855522594,12.466435172867623,15.263999648803136,1.3461103488544148
20,Kansas,Shock_2020_2022,58398.581377724535,52556.47091113164,89450.44462271611,48940.3207264918,11.99401164630744,12.817969042344506,15.153139472366709,1.3791323239358484
21,Kentucky,Baseline_2015_2019,45687.94845874336,40598.049651395,81162.40953483133,45003.95115874348,13.295443876114192,11.616351899376472,14.661596028178616,1.0318521097917457
21,Kentucky,Post_Shock_2023_2024,50131.400239774885,45176.13752626907,84277.75035540685,46871.32394947548,12.996783562867957,11.560557706492958,15.561291262129778,0.8685592910712554
21,Kentucky,Shock_2020_2022,47478.8238284493,45210.541375000175,83872.99225120666,47253.781052098115,13.110225391989042,11.84211522157311,15.217410912849589,0.8875757502543293
