state_fips,state,Cluster_ID,Cluster,Cluster_Name,State_Code,Cluster_Map_Label,Research_Period
06,California,0,Cluster_0,High-Capacity Professional-Service Economies,CA,0 — High-Capacity Professional Service,Baseline: 2015–2019
10,Delaware,0,Cluster_0,High-Capacity Professional-Service Economies,DE,0 — High-Capacity Professional Service,Baseline: 2015–2019
17,Illinois,0,Cluster_0,High-Capacity Professional-Service Economies,IL,0 — High-Capacity Professional Service,Baseline: 2015–2019
24,Maryland,0,Cluster_0,High-Capacity Professional-Service Economies,MD,0 — High-Capacity Professional Service,Baseline: 2015–2019
34,New Jersey,0,Cluster_0,High-Capacity Professional-Service Economies,NJ,0 — High-Capacity Professional Service,Baseline: 2015–2019
51,Virginia,0,Cluster_0,High-Capacity Professional-Service Economies,VA,0 — High-Capacity Professional Service,Baseline: 2015–2019
16,Idaho,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,ID,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
22,Louisiana,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,LA,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
23,Maine,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,ME,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
30,Montana,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,MT,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
35,New Mexico,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,NM,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
40,Oklahoma,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,OK,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
41,Oregon,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,OR,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
46,South Dakota,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,SD,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
50,Vermont,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,VT,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
54,West Virginia,1,Cluster_1,Lower-Capacity Resource-Healthcare Economies,WV,1 — Lower-Capacity Resource–Healthcare,Baseline: 2015–2019
27,Minnesota,2,Cluster_2,Balanced Manufacturing-Healthcare Economies,MN,2 — Balanced Manufacturing–Healthcare,Baseline: 2015–2019
29,Missouri,2,Cluster_2,Balanced Manufacturing-Healthcare Economies,MO,2 — Balanced Manufacturing–Healthcare,Baseline: 2015–2019
31,Nebraska,2,Cluster_2,Balanced Manufacturing-Healthcare Economies,NE,2 — Balanced Manufacturing–Healthcare,Baseline: 2015–2019
33,New Hampshire,2,Cluster_2,Balanced Manufacturing-Healthcare Economies,NH,2 — Balanced Manufacturing–Healthcare,Baseline: 2015–2019
39,Ohio,2,Cluster_2,Balanced Manufacturing-Healthcare Economies,OH,2 — Balanced Manufacturing–Healthcare,Baseline: 2015–2019
42,Pennsylvania,2,Cluster_2,Balanced Manufacturing-Healthcare Economies,PA,2 — Balanced Manufacturing–Healthcare,Baseline: 2015–2019
44,Rhode Island,2,Cluster_2,Balanced Manufacturing-Healthcare Economies,RI,2 — Balanced Manufacturing–Healthcare,Baseline: 2015–2019
02,Alaska,3,Cluster_3,High-Capacity Resource-Specialized Economies,AK,3 — High-Capacity Resource Specialized,Baseline: 2015–2019
38,North Dakota,3,Cluster_3,High-Capacity Resource-Specialized Economies,ND,3 — High-Capacity Resource Specialized,Baseline: 2015–2019
53,Washington,3,Cluster_3,High-Capacity Resource-Specialized Economies,WA,3 — High-Capacity Resource Specialized,Baseline: 2015–2019
