state_fips,state,Cluster_ID,Cluster
06,California,0,Cluster_0
10,Delaware,0,Cluster_0
17,Illinois,0,Cluster_0
24,Maryland,0,Cluster_0
34,New Jersey,0,Cluster_0
51,Virginia,0,Cluster_0
16,Idaho,1,Cluster_1
22,Louisiana,1,Cluster_1
23,Maine,1,Cluster_1
30,Montana,1,Cluster_1
35,New Mexico,1,Cluster_1
40,Oklahoma,1,Cluster_1
41,Oregon,1,Cluster_1
46,South Dakota,1,Cluster_1
50,Vermont,1,Cluster_1
54,West Virginia,1,Cluster_1
27,Minnesota,2,Cluster_2
29,Missouri,2,Cluster_2
31,Nebraska,2,Cluster_2
33,New Hampshire,2,Cluster_2
39,Ohio,2,Cluster_2
42,Pennsylvania,2,Cluster_2
44,Rhode Island,2,Cluster_2
02,Alaska,3,Cluster_3
38,North Dakota,3,Cluster_3
53,Washington,3,Cluster_3
56,Wyoming,3,Cluster_3
09,Connecticut,4,Cluster_4
25,Massachusetts,4,Cluster_4
36,New York,4,Cluster_4
04,Arizona,5,Cluster_5
08,Colorado,5,Cluster_5
12,Florida,5,Cluster_5
13,Georgia,5,Cluster_5
15,Hawaii,5,Cluster_5
32,Nevada,5,Cluster_5
48,Texas,5,Cluster_5
49,Utah,5,Cluster_5
01,Alabama,6,Cluster_6
05,Arkansas,6,Cluster_6
18,Indiana,6,Cluster_6
19,Iowa,6,Cluster_6
20,Kansas,6,Cluster_6
21,Kentucky,6,Cluster_6
26,Michigan,6,Cluster_6
28,Mississippi,6,Cluster_6
37,North Carolina,6,Cluster_6
45,South Carolina,6,Cluster_6
47,Tennessee,6,Cluster_6
55,Wisconsin,6,Cluster_6
