Cluster,Direction,Rank,Feature,Standardized_Mean
Cluster_0,High,1,professional_business_share,1.2732992442722062
Cluster_0,High,2,real_average_wages_salaries_2017,1.0070079377770218
Cluster_0,High,3,real_output_per_job,0.8794496170662505
Cluster_0,Low,1,log1p_natural_resources_agriculture_share,-0.8688961353424526
Cluster_0,Low,2,manufacturing_share,-0.5855350723419801
Cluster_0,Low,3,healthcare_share,-0.36704431988075265
Cluster_1,High,1,log1p_natural_resources_agriculture_share,0.922999929275377
Cluster_1,High,2,healthcare_share,0.6566549147360773
Cluster_1,High,3,manufacturing_share,-0.3432454980499038
Cluster_1,Low,1,real_average_wages_salaries_2017,-0.8909058427929323
Cluster_1,Low,2,real_output_per_job,-0.8627283619094622
Cluster_1,Low,3,real_gdp_per_capita,-0.8532279668517644
Cluster_2,High,1,manufacturing_share,0.5424149878967757
Cluster_2,High,2,healthcare_share,0.5337343535292142
Cluster_2,High,3,professional_business_share,0.11528549301341992
Cluster_2,Low,1,log1p_natural_resources_agriculture_share,-0.3815051657844624
Cluster_2,Low,2,real_output_per_job,-0.13994966828543162
Cluster_2,Low,3,real_average_wages_salaries_2017,-0.09899106221655474
Cluster_3,High,1,log1p_natural_resources_agriculture_share,2.2083928168431264
Cluster_3,High,2,real_gdp_per_capita,1.0234582879864251
Cluster_3,High,3,real_personal_income_per_capita_2017,0.7750694881452148
Cluster_3,Low,1,professional_business_share,-1.774799887501277
Cluster_3,Low,2,manufacturing_share,-1.0623038375469256
Cluster_3,Low,3,healthcare_share,-0.24429928792671202
Cluster_4,High,1,real_average_wages_salaries_2017,2.2393757087002863
Cluster_4,High,2,real_output_per_job,2.135721708639289
Cluster_4,High,3,real_gdp_per_capita,1.973125057507274
Cluster_4,Low,1,log1p_natural_resources_agriculture_share,-0.4705959499704146
Cluster_4,Low,2,manufacturing_share,-0.46843048491721484
Cluster_4,Low,3,professional_business_share,0.6818759416464726
Cluster_5,High,1,professional_business_share,0.6083827125004652
Cluster_5,High,2,real_average_wages_salaries_2017,0.04913997338222572
Cluster_5,High,3,real_gdp_per_capita,-0.10968449531768086
Cluster_5,Low,1,healthcare_share,-1.2266247209636003
Cluster_5,Low,2,manufacturing_share,-0.7159184395043402
Cluster_5,Low,3,real_personal_income_per_capita_2017,-0.2720217160485647
Cluster_6,High,1,manufacturing_share,1.4173352664490881
Cluster_6,High,2,healthcare_share,-0.24484055767713833
Cluster_6,High,3,log1p_natural_resources_agriculture_share,-0.2825912613018183
Cluster_6,Low,1,real_personal_income_per_capita_2017,-0.9447181157031068
Cluster_6,Low,2,real_gdp_per_capita,-0.8632447940899829
Cluster_6,Low,3,real_average_wages_salaries_2017,-0.8406154916782348
