Number_of_Clusters,Cluster,Observations,Percent
2,0,40,26.666666666666668
2,1,110,73.33333333333333
3,0,35,23.333333333333332
3,1,81,54.0
3,2,34,22.666666666666664
4,0,51,34.0
4,1,72,48.0
4,2,10,6.666666666666667
4,3,17,11.333333333333332
5,0,37,24.666666666666668
5,1,54,36.0
5,2,31,20.666666666666668
5,3,18,12.0
5,4,10,6.666666666666667
6,0,20,13.333333333333334
6,1,32,21.333333333333336
6,2,25,16.666666666666664
6,3,10,6.666666666666667
6,4,13,8.666666666666668
6,5,50,33.33333333333333
7,0,20,13.333333333333334
7,1,27,18.0
7,2,28,18.666666666666668
7,3,10,6.666666666666667
7,4,13,8.666666666666668
7,5,24,16.0
7,6,28,18.666666666666668
8,0,20,13.333333333333334
8,1,20,13.333333333333334
8,2,10,6.666666666666667
8,3,13,8.666666666666668
8,4,22,14.666666666666666
8,5,24,16.0
8,6,26,17.333333333333336
8,7,15,10.0
