state_fips,state,period,value,feature,lower_limit,upper_limit
09,Connecticut,Baseline_2015_2019,69636.07953697028,real_personal_income_per_capita_2017,30829.446201841318,67839.99274564846
10,Delaware,Baseline_2015_2019,123953.3576330803,real_output_per_job,64006.18498448272,119775.9140011957
36,New York,Baseline_2015_2019,131118.250483655,real_output_per_job,64006.18498448272,119775.9140011957
53,Washington,Baseline_2015_2019,119881.54344876535,real_output_per_job,64006.18498448272,119775.9140011957
36,New York,Baseline_2015_2019,70098.50198768101,real_average_wages_salaries_2017,31457.56252998122,69585.90949749562
51,Virginia,Baseline_2015_2019,19.283304382224653,professional_business_share,7.008510454784813,18.813226755487328
56,Wyoming,Baseline_2015_2019,6.816113191118366,professional_business_share,7.008510454784813,18.813226755487328
02,Alaska,Baseline_2015_2019,4.676032780158638,natural_resources_agriculture_share,-1.8445839093910927,4.668620696394498
38,North Dakota,Baseline_2015_2019,5.741323207485509,natural_resources_agriculture_share,-1.8445839093910927,4.668620696394498
56,Wyoming,Baseline_2015_2019,8.53484416348309,natural_resources_agriculture_share,-1.8445839093910927,4.668620696394498
36,New York,Shock_2020_2022,87161.27916124725,real_gdp_per_capita,32163.28599842914,85265.32127147279
09,Connecticut,Shock_2020_2022,72860.61759925832,real_personal_income_per_capita_2017,36876.20576841358,72012.96292223822
25,Massachusetts,Shock_2020_2022,73710.03998681107,real_personal_income_per_capita_2017,36876.20576841358,72012.96292223822
06,California,Shock_2020_2022,128135.8600091728,real_output_per_job,67918.41420525582,121336.93465109811
10,Delaware,Shock_2020_2022,123434.53500143642,real_output_per_job,67918.41420525582,121336.93465109811
25,Massachusetts,Shock_2020_2022,123300.30463252524,real_output_per_job,67918.41420525582,121336.93465109811
36,New York,Shock_2020_2022,140945.58142056662,real_output_per_job,67918.41420525582,121336.93465109811
53,Washington,Shock_2020_2022,134823.07344232188,real_output_per_job,67918.41420525582,121336.93465109811
06,California,Shock_2020_2022,74889.41497670127,real_average_wages_salaries_2017,33675.81055975053,74118.22122453235
25,Massachusetts,Shock_2020_2022,76159.8044768367,real_average_wages_salaries_2017,33675.81055975053,74118.22122453235
36,New York,Shock_2020_2022,76999.93126338499,real_average_wages_salaries_2017,33675.81055975053,74118.22122453235
51,Virginia,Shock_2020_2022,20.430569780543443,professional_business_share,7.2845331274119145,19.870195174766724
38,North Dakota,Shock_2020_2022,4.921191949620934,natural_resources_agriculture_share,-1.3665542633724932,3.8742342948012127
56,Wyoming,Shock_2020_2022,6.953021351776098,natural_resources_agriculture_share,-1.3665542633724932,3.8742342948012127
09,Connecticut,Post_Shock_2023_2024,73461.07662985564,real_personal_income_per_capita_2017,35925.08559687459,72893.87521111328
36,New York,Post_Shock_2023_2024,137136.94397730724,real_output_per_job,64395.83913010251,129546.01309356009
53,Washington,Post_Shock_2023_2024,140508.01499705337,real_output_per_job,64395.83913010251,129546.01309356009
25,Massachusetts,Post_Shock_2023_2024,72872.78233174881,real_average_wages_salaries_2017,34026.597281219656,72256.83266037422
36,New York,Post_Shock_2023_2024,73622.12684304293,real_average_wages_salaries_2017,34026.597281219656,72256.83266037422
51,Virginia,Post_Shock_2023_2024,20.129218091850344,professional_business_share,7.481760303941193,19.205033948936702
02,Alaska,Post_Shock_2023_2024,4.13720804205621,natural_resources_agriculture_share,-1.5550284925736415,3.9724007182733003
38,North Dakota,Post_Shock_2023_2024,5.441269532452273,natural_resources_agriculture_share,-1.5550284925736415,3.9724007182733003
56,Wyoming,Post_Shock_2023_2024,6.895395117526441,natural_resources_agriculture_share,-1.5550284925736415,3.9724007182733003
