period,feature,Outlier_Count
Baseline_2015_2019,natural_resources_agriculture_share,3
Baseline_2015_2019,real_output_per_job,3
Baseline_2015_2019,professional_business_share,2
Baseline_2015_2019,real_average_wages_salaries_2017,1
Baseline_2015_2019,real_personal_income_per_capita_2017,1
Shock_2020_2022,real_output_per_job,5
Shock_2020_2022,real_average_wages_salaries_2017,3
Shock_2020_2022,natural_resources_agriculture_share,2
Shock_2020_2022,real_personal_income_per_capita_2017,2
Shock_2020_2022,professional_business_share,1
Shock_2020_2022,real_gdp_per_capita,1
Post_Shock_2023_2024,natural_resources_agriculture_share,3
Post_Shock_2023_2024,real_average_wages_salaries_2017,2
Post_Shock_2023_2024,real_output_per_job,2
Post_Shock_2023_2024,professional_business_share,1
Post_Shock_2023_2024,real_personal_income_per_capita_2017,1
